Spieler,Klub,Alter,Position,Nationalität
,,,,
F. Diabaté,FC Lausanne-Sport,29,Stürmer,Mali / Frankreich
,,,,
M. Di Giusto,FC Winterthur,24,Mittelfeldspieler,Schweiz
,,,,
N. Di Giusto,FC Zürich,19,Mittelfeldspieler,Schweiz
,,,,
G. Dettoni,Grasshopper Club Zürich,19,Verteidiger,USA / Italien
,,,,
D. Denoon,FC Zürich,21,Verteidiger,Schweiz
,,,,
S. Decarli,Grasshopper Club Zürich,33,Verteidiger,Schweiz
,,,,
L. Daschner,FC St.Gallen 1879,26,Mittelfeldspieler,Deutschland
,,,,
B. Céspedes,Yverdon Sport FC,29,Mittelfeldspieler,Bolivien / Schweiz
,,,,
O. Custodio,FC Lausanne-Sport,30,Mittelfeldspieler,Schweiz / Portugal
,,,,
S. Cueni,FC Winterthur,23,Mittelfeldspieler,Schweiz
,,,,
K. Csoboth,FC St.Gallen 1879,24,Mittelfeldspieler,Ungarn
,,,,
E. Crivelli,Servette FC,30,Stürmer,Frankreich / Algerien
,,,,
P. Coulibaly,FC Zürich,16,Stürmer,Schweiz
,,,,
Baltazar Costa,FC Sion,24,Mittelfeldspieler,Brasilien
,,,,
Martim Marques,FC Lugano,21,Verteidiger,Portugal
,,,,
Abdu Conté,BSC Young Boys,26,Verteidiger,Portugal / Guinea-Bissau
,,,,
F. Conte,BSC Young Boys,19,Stürmer,Guinea / Frankreich
,,,,
E. Colley,BSC Young Boys,25,Stürmer,Gambia
,,,,
T. Cognat,Servette FC,27,Mittelfeldspieler,Frankreich
,,,,
M. Cissé,FC Basel 1893,21,Verteidiger,Frankreich / Mali
,,,,
M. Cisse,FC St.Gallen 1879,21,Stürmer,Guinea
,,,,
Marquinhos Cipriano,FC Sion,26,Verteidiger,Brasilien
,,,,
Y. Cimignani,FC Lugano,23,Mittelfeldspieler,Frankreich / Burkina Faso
,,,,
A. Ciganiks,FC Luzern,27,Verteidiger,Lettland
,,,,
M. Chouiar,FC Zürich,26,Mittelfeldspieler,Frankreich / Marokko
,,,,
I. Chouaref,FC Sion,24,Stürmer,Frankreich
,,,,
M. Choinière,Grasshopper Club Zürich,26,Mittelfeldspieler,Kanada
,,,,
L. Chipperfield,FC Sion,21,Mittelfeldspieler,Schweiz / Australien
,,,,
M. Chaiwa,BSC Young Boys,20,Mittelfeldspieler,Sambia
,,,,
S. Chader,FC Luzern,24,Mittelfeldspieler,Frankreich / Algerien
,,,,
T. Castella,FC Lausanne-Sport,31,Torhüter,Schweiz
,,,,
M. Camara,BSC Young Boys,27,Verteidiger,Guinea
,,,,
P. Büttiker,FC St.Gallen 1879,18,Verteidiger,Schweiz
,,,,
N. Burkart,FC Winterthur,25,Stürmer,Schweiz
,,,,
R. Buess,FC Winterthur,32,Stürmer,Schweiz
,,,,
K. Bua,FC Sion,31,Mittelfeldspieler,Schweiz / Spanien
,,,,
Y. Brecher,FC Zürich,31,Torhüter,Schweiz
,,,,
Z. Brault-Guillard,FC Lugano,26,Verteidiger,Kanada / Frankreich
,,,,
M. Bouriga,FC Sion,25,Stürmer,Marokko
,,,,
T. Bouchlarhem,FC Sion,23,Mittelfeldspieler,Frankreich / Marokko
,,,,
M. Bottani,FC Lugano,33,Stürmer,Schweiz
,,,,
A. Bojang,Grasshopper Club Zürich,20,Stürmer,Gambia
,,,,
J. Bock,FC Luzern,20,Torhüter,Deutschland
,,,,
L. Blum,BSC Young Boys,23,Verteidiger,Schweiz
,,,,
U. Bislimi,FC Lugano,25,Mittelfeldspieler,Schweiz / Kosovo
,,,,
Y. Bettkober,Grasshopper Club Zürich,19,Verteidiger,Deutschland
,,,,
L. Besson,Servette FC,22,Torhüter,Kosovo / Schweiz
,,,,
P. Bernardoni,Yverdon Sport FC,27,Torhüter,Frankreich
,,,,
T. Berdayes,FC Sion,22,Stürmer,Schweiz / Portugal
,,,,
L. Benito,BSC Young Boys,33,Verteidiger,Schweiz / Spanien
,,,,
V. Beniangba,Servette FC,21,Stürmer,Nigeria
,,,,
N. Beloko,FC Luzern,25,Mittelfeldspieler,Schweiz / Kamerun
,,,,
I. Beka,FC Luzern,25,Verteidiger,Kosovo / Schweiz
,,,,
C. Bedia,BSC Young Boys,28,Stürmer,Elfenbeinküste / Frankreich
,,,,
A. Baron,Servette FC,32,Verteidiger,Guadeloupe / Frankreich
,,,,
A. Baroan,FC Winterthur,24,Stürmer,Frankreich
,,,,
A. Barisic,FC Basel 1893,23,Verteidiger,Bosnien-Herzegowina / Kroatien
,,,,
F. Barba,FC Sion,31,Verteidiger,Italien
,,,,
M. Baradji,Yverdon Sport FC,24,Mittelfeldspieler,Frankreich / Mali
,,,,
M. Bangoura,FC Zürich,19,Mittelfeldspieler,Guinea
,,,,
S. Ballet,FC Zürich,23,Stürmer,Schweiz / Kamerun
,,,,
A. Balde,FC Lausanne-Sport,22,Stürmer,Guinea / Senegal
,,,,
A. Bajrami,BSC Young Boys,20,Torhüter,Schweiz / Kosovo
,,,,
L. Bajrami,FC Winterthur,19,Stürmer,Schweiz
,,,,
B. Babic,FC Lugano,27,Stürmer,Schweiz / Serbien
,,,,
Y. Aymon,FC Sion,22,Verteidiger,Schweiz
,,,,
L. Avdullahu,FC Basel 1893,21,Mittelfeldspieler,Schweiz / Kosovo
,,,,
A. Avdic,Yverdon Sport FC,20,Stürmer,Schweiz / Bosnien-Herzegowina
,,,,
M. Aubert,Servette FC,19,Torhüter,Schweiz / Marokko
,,,,
Z. Athekame,BSC Young Boys,20,Verteidiger,Schweiz / Nigeria
,,,,
D. Asiedu,FC Basel 1893,20,Verteidiger,Ghana
,,,,
R. Arnold,FC Winterthur,28,Verteidiger,Schweiz
,,,,
A. Arigoni,FC Lugano,26,Verteidiger,Schweiz
,,,,
A. Antunes,Servette FC,24,Mittelfeldspieler,Schweiz
,,,,
S. Ambrosius,FC St.Gallen 1879,26,Verteidiger,Ghana / Deutschland
,,,,
I. Aliseda,FC Lugano,24,Stürmer,Argentinien
